Date,Close,Volume
2000-01-03,38.944569,28802010
2000-01-04,42.062302,61320457
2000-01-05,43.710136,173426953
2000-01-06,45.54364,101355113
2000-01-07,48.669109,128426756
2000-01-10,47.733013,86714866
2000-01-11,44.638493,81074352
2000-01-12,46.680878,78264129
2000-01-13,48.251347,110363002
2000-01-14,48.93988,86996234
2000-01-17,47.771698,69343031
2000-01-18,48.614956,65168824
2000-01-19,49.450478,74204601
2000-01-20,48.406075,99716250
2000-01-21,50.494877,110757441
2000-01-24,50.463932,85074833
2000-01-25,49.504631,63033619
2000-01-26,49.504631,0
2000-01-27,51.825523,97039553
2000-01-28,52.351589,75838844
2000-01-31,50.773384,65866896
2000-02-01,51.686268,69204877
2000-02-02,52.630096,64312647
2000-02-03,52.862186,43764594
2000-02-04,53.249001,45932185
2000-02-07,53.163902,52955762
2000-02-08,52.978233,41561566
2000-02-09,54.216042,73916538
2000-02-10,55.043827,69752781
2000-02-11,56.212009,52710076
2000-02-14,54.479076,33138542
2000-02-15,53.279949,52507848
2000-02-16,53.867908,50905372
2000-02-17,54.858154,49576753
2000-02-18,54.06905,32513360
2000-02-21,53.481091,19029776
2000-02-22,51.732685,46483688
2000-02-23,51.028683,31227592
2000-02-24,52.104031,36605791
2000-02-25,50.84301,25284007
2000-02-28,51.539276,32483223
2000-02-29,48.096622,64437118
2000-03-01,49.017242,69580276
2000-03-02,45.141354,81022150
2000-03-03,41.536232,29967630
2000-03-06,39.292706,67414030
2000-03-07,37.490143,61789492
2000-03-08,36.043453,46898188
2000-03-09,35.788158,35842630
2000-03-10,33.552364,42637713
2000-03-13,31.440351,69577129
2000-03-14,33.91597,65317454
2000-03-15,36.631413,36911809
2000-03-16,36.337437,68277374
2000-03-17,36.337437,0
2000-03-20,36.337437,0
2000-03-21,36.809349,44194444
2000-03-22,37.660343,31873171
2000-03-23,37.281265,27701407
2000-03-24,37.227112,17048508
2000-03-27,40.205589,26767719
2000-03-28,43.423893,45414179
2000-03-29,41.977203,66425961
2000-03-30,45.334759,110959424
2000-03-31,48.963089,127348768
2000-04-03,50.84301,138005247
2000-04-04,46.781448,87447974
2000-04-05,46.765976,162780343
2000-04-06,50.463932,104953613
2000-04-07,54.502285,75527920
2000-04-10,56.405415,142902280
2000-04-11,54.734371,63076282
2000-04-12,52.2897,111576934
2000-04-13,48.112095,1455558
2000-04-14,48.112095,0
2000-04-17,46.17028,102966877
2000-04-18,46.425579,56718132
2000-04-19,48.715527,105306863
2000-04-20,52.258755,125305202
2000-04-21,52.258755,0
2000-04-24,52.134975,113867362
2000-04-25,51.376816,102177560
2000-04-26,55.384224,109861490
2000-04-27,53.481091,190967027
2000-04-28,53.388256,86775050
2000-05-01,53.388256,0
2000-05-02,50.928108,106153132
2000-05-03,50.750175,88932952
2000-05-04,52.173656,73208577
2000-05-05,51.887413,72028040
2000-05-08,50.131271,38075892
2000-05-09,50.804329,39661312
2000-05-10,50.324677,42996055
2000-05-11,49.009506,41550605
2000-05-12,48.877991,26726872
2000-05-15,49.435001,37468476
2000-05-16,49.110077,20251729
2000-05-17,49.334431,50428238
2000-05-18,47.980576,34788916
2000-05-19,48.83157,51491827
2000-05-22,48.344185,20150110
2000-05-23,48.700054,26946906
2000-05-24,48.390602,26123367
2000-05-25,48.398338,16915486
2000-05-26,48.963089,22651653
2000-05-29,52.52179,76298378
2000-05-30,53.194847,36778192
2000-05-31,53.21032,54625965
2000-06-01,52.483109,34780062
2000-06-02,52.212337,37785501
2000-06-05,52.483109,70082118
2000-06-06,52.421219,25330702
2000-06-07,52.2897,24249864
2000-06-08,52.738407,29732906
2000-06-09,52.792561,79452454
2000-06-12,52.514053,26640946
2000-06-13,52.374802,44187341
2000-06-14,52.196865,28979213
2000-06-15,51.283981,39276122
2000-06-16,51.407761,29463604
2000-06-19,51.268509,20053533
2000-06-20,51.106045,26810168
2000-06-21,50.928108,13386742
2000-06-22,53.38052,123720150
2000-06-23,52.258755,103392887
2000-06-26,51.237564,22394715
2000-06-27,51.755894,49353042
2000-06-28,51.639851,11276219
2000-06-29,52.955025,49235492
2000-06-30,52.730671,41011640
2000-07-03,53.867908,63681797
2000-07-04,53.44241,34776081
2000-07-05,54.796265,87640747
2000-07-06,56.065018,92609170
2000-07-07,55.887081,51505270
2000-07-10,57.016582,60875833
2000-07-11,58.169292,78466835
2000-07-12,57.256409,32654403
2000-07-13,56.591087,38426343
2000-07-14,55.887081,41386508
2000-07-17,56.212009,39756325
2000-07-18,55.415169,24046155
2000-07-19,54.788528,27002908
2000-07-20,55.33007,57529714
2000-07-21,53.21032,66342633
2000-07-24,50.518085,38884488
2000-07-25,51.663059,42688021
2000-07-26,50.378834,25082250
2000-07-27,53.233528,55675794
2000-07-28,52.676517,38682538
2000-07-31,52.111767,12968286
2000-08-01,52.374802,24125696
2000-08-02,52.452164,9412423
2000-08-03,52.243282,21545647
2000-08-04,51.0751,21145379
2000-08-07,51.098309,15971987
